review_id,game_id,game_name,expected_anomalies,collection_strategy,review_text,text_length_chars,text_length_words,text_caps_ratio,text_punct_ratio,text_exclamation_count,text_question_count,text_url_count,text_paragraph_count,text_emoji_like_count,sentiment_polarity,sentiment_subjectivity,review_voted_up,review_votes_up,review_votes_funny,review_comment_count,review_helpful_ratio,review_engagement_score,sentiment_vote_mismatch,text_generic_positive_count,text_generic_negative_count,user_num_reviews,user_num_games,user_playtime_at_review_hours,user_playtime_last_two_weeks_hours,user_playtime_forever_hours,user_steamlevel,user_is_new,user_single_game,user_low_activity,user_review_playtime_ratio,user_recent_play_ratio,user_review_under_2h,user_this_game_focus,user_reviews_per_game,user_experienced_this_game,review_timestamp_created,review_timestamp_updated,review_updated,review_steam_purchase,review_received_for_free,review_early_access,rule_anomaly_score,near_incident,days_from_incident,anomaly_new_account,anomaly_minimal_playtime,anomaly_quick_review,anomaly_generic_text,anomaly_caps_abuse,anomaly_suspicious_length,anomaly_limited_library,anomaly_no_engagement,anomaly_free_copy,anomaly_external_key,anomaly_external_source,weak_is_anomaly
208339677,553850,Helldivers 2,bombing,recent_all,Amazing single and multilplayer game. Would 1000% recommend,59,8,0.03389830508474576,0.01694915254237288,0,0,0,1,0,0.04285714285714289,0.5047619047619047,1,0,0,0,0.0,0,0,1,0,6,0,14.883333333333333,16.85,16.85,0,0,1,1,3.964165733482643,1.0,0,16.85,6.0,0,1762198806,1762198806,0,1,0,0,2,0,546,0,0,0,0,0,0,1,1,0,0,0,0
208339461,553850,Helldivers 2,bombing,recent_all,Рубилова Мочилово Чотко,23,3,0.13043478260869565,0.0,0,0,0,1,0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,8,65,137.28333333333333,0.7,137.28333333333333,0,0,0,0,0.1675367245356319,0.005098943790214884,0,2.112051282051282,0.12307692307692308,1,1762198621,1762198621,0,1,0,0,1,0,546,0,0,0,0,0,0,0,1,0,0,0,0
208339099,553850,Helldivers 2,bombing,recent_all,For democracy,13,2,0.07692307692307693,0.0,0,0,0,1,0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,7,0,3.1166666666666667,4.05,4.05,0,0,1,1,4.171122994652406,1.0,0,4.05,7.0,0,1762198319,1762198319,0,0,0,0,4,0,546,0,0,0,0,0,1,1,1,0,1,1,0
208338927,553850,Helldivers 2,bombing,recent_all,"For Democracy, Super Earth needs you",36,6,0.1111111111111111,0.027777777777777776,0,0,0,1,0,0.3333333333333333,0.6666666666666666,1,0,0,0,0.0,0,0,0,0,17,0,1.75,1.75,1.75,0,0,1,0,20.571428571428573,1.0,1,1.75,17.0,0,1762198180,1762198180,0,1,0,0,3,0,546,0,0,1,0,0,0,1,1,0,0,0,0
208338323,553850,Helldivers 2,bombing,recent_all,Highly recommend.,17,2,0.058823529411764705,0.058823529411764705,0,0,0,1,0,0.16,0.54,1,0,0,0,0.0,0,0,0,0,1,0,94.05,8.116666666666667,94.16666666666667,0,1,1,1,0.18075491759702286,0.08619469026548672,0,94.16666666666667,1.0,1,1762197705,1762197705,0,1,0,0,5,0,546,1,0,0,1,0,1,1,1,0,0,0,1
208336691,553850,Helldivers 2,bombing,recent_all,"Brutal, but satisfying. The levels are just different enough to feel fresh every time, despite it being basically the same thing.",129,21,0.015503875968992248,0.031007751937984496,0,0,0,1,0,-0.012500000000000002,0.6208333333333333,1,0,0,0,0.0,0,0,0,0,7,0,15.8,17.583333333333332,17.583333333333332,0,0,1,1,8.164556962025316,1.0,0,17.583333333333332,7.0,0,1762196321,1762196321,0,1,0,0,2,0,546,0,0,0,0,0,0,1,1,0,0,0,0
208336638,553850,Helldivers 2,bombing,recent_all,9/9 Super Citizens recommend playing this liberating-democracy-driven game,74,8,0.02702702702702703,0.0,0,0,0,1,0,-0.033333333333333354,0.5333333333333333,1,0,0,0,0.0,0,0,0,0,6,48,108.56666666666666,11.716666666666667,108.8,0,0,0,0,0.6816088424930918,0.10768995098039216,0,2.2666666666666666,0.125,1,1762196278,1762196278,0,1,0,0,1,0,546,0,0,0,0,0,0,0,1,0,0,0,0
208336182,553850,Helldivers 2,bombing,recent_all,It's a blast with friends,25,5,0.04,0.0,0,0,0,1,0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,21,106,27.2,0.0,27.2,0,0,0,0,0.9191176470588236,0.0,0,0.25660377358490566,0.19811320754716982,1,1762195878,1762195878,0,0,0,0,2,0,546,0,0,0,0,0,0,0,1,0,1,1,0
208333264,553850,Helldivers 2,bombing,recent_all,"Helldivers 2 used to be one of the most fun and chaotic co-op games I’ve ever played. Jumping in with friends, experimenting with loadouts, and laughing through the chaos was pure gold. But over time, update after update, that fun has slowly been stripped away.The game has had its ups and downs, but lately it’s been nothing but downhill. The fun keeps getting nerfed, the pain keeps getting buffed. What used to be a sandbox for creativity has become a rigid meta where only a handful of guns and armours are worth using.The Warbond system could’ve been great, but now it’s just a cosmetic treadmill. Every new “content drop” brings more bugs, more broken objectives, and more frustration. Silent enemies, clipping through walls, unkillable mobs, game crashes — they’ve all become a regular part of the experience. New enemies feel rushed and badly balanced, with no real counterplay or logic behind their design. With so much variety in weapons, stratagems, and armour, you’d think there’d be a coherent system tying it all together… but there just isn’t anymore. What’s worse is that there was a time when it felt like the devs listened, like they cared about making the game better but not anymore. At this point, it’s sad to see how far this game has fallen. I really loved Helldivers 2 and wanted it to succeed, but I can’t recommend it in its current state. If you’re looking for the game that once brought so many players together in chaotic, hilarious freedom — it’s gone.",1482,256,0.01282051282051282,0.023616734143049933,0,0,0,1,0,0.06630591630591631,0.49451890701890694,0,11,0,0,1.0,11,0,0,0,9,54,257.03333333333336,0.16666666666666666,257.03333333333336,0,0,0,0,5.765789132408248,0.0006484243288808195,0,4.759876543209877,0.16666666666666666,1,1762193316,1762193316,0,0,0,0,1,0,546,0,0,0,0,0,0,0,0,0,1,1,0
208332197,553850,Helldivers 2,bombing,recent_all,great game its very unique,26,5,0.0,0.0,0,0,0,1,0,0.29583333333333334,0.7166666666666667,1,0,0,0,0.0,0,0,0,0,3,0,12.15,0.7333333333333333,12.883333333333333,0,1,1,1,2.139917695473251,0.05692108667529107,0,12.883333333333333,3.0,0,1762192464,1762192464,0,1,0,0,3,0,546,1,0,0,0,0,0,1,1,0,0,0,0
208331539,553850,Helldivers 2,bombing,recent_all,.,1,1,0.0,1.0,0,0,0,1,0,0.0,0.0,0,1,0,0,1.0,1,0,0,0,4,0,110.45,4.933333333333334,111.35,0,1,1,1,0.009053870529651425,0.044304744798682835,0,111.35,4.0,1,1762191830,1762191830,0,0,0,0,4,0,546,1,0,0,0,0,1,1,0,0,1,1,0
208330525,553850,Helldivers 2,bombing,recent_all,"it is so much fun one minet your obleterating bugs then yoer whiped out by robots
",83,16,0.0,0.0,0,0,0,1,0,0.3,0.2,1,0,1,0,0.0,1,0,0,0,5,0,5.05,5.4,5.4,0,0,1,1,16.435643564356436,1.0,0,5.4,5.0,0,1762190977,1762190977,0,1,0,0,1,0,546,0,0,0,0,0,0,1,0,0,0,0,0
208328427,553850,Helldivers 2,bombing,recent_all,"blow up tonnes of stuff, great fun",34,7,0.0,0.029411764705882353,0,0,0,1,0,0.55,0.475,1,1,0,0,1.0,1,0,0,0,9,0,57.733333333333334,25.15,62.4,0,0,1,1,0.5889145496535797,0.4030448717948718,0,62.4,9.0,1,1762189188,1762189188,0,1,0,0,1,0,546,0,0,0,0,0,0,1,0,0,0,0,0
208327090,553850,Helldivers 2,bombing,recent_all,"дорого, но круто. доп издание можно не брать. обязательно с кентами",67,11,0.0,0.04477611940298507,0,0,0,1,0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,1,9,53.266666666666666,11.716666666666667,54.81666666666667,0,1,0,0,1.2578222778473092,0.21374277896017024,0,6.090740740740741,0.1111111111111111,1,1762187998,1762187998,0,1,0,0,2,0,546,1,0,0,0,0,0,0,1,0,0,0,0
208326418,553850,Helldivers 2,bombing,recent_all,Awesome game,12,2,0.08333333333333333,0.0,0,0,0,1,0,0.3,0.7,1,1,1,0,0.5,2,0,0,0,2,0,73.83333333333333,3.6,77.43333333333334,0,1,1,1,0.16252821670428894,0.04649160568230736,0,77.43333333333334,2.0,1,1762187377,1762187377,0,1,0,0,3,0,546,1,0,0,0,0,1,1,0,0,0,0,0
208325948,553850,Helldivers 2,bombing,recent_all,"nice
",6,1,0.0,0.0,0,0,0,1,0,0.6,1.0,1,1,0,0,1.0,1,0,0,0,15,0,33.78333333333333,15.933333333333334,33.85,0,0,1,0,0.17760236803157375,0.4707040866568193,0,33.85,15.0,1,1762186949,1762186949,0,1,0,0,2,0,546,0,0,0,0,0,1,1,0,0,0,0,0
