review_id,game_name,rule_anomaly_score,near_incident,days_from_incident,user_playtime_at_review_hours,user_num_reviews,user_num_games,review_votes_up,review_votes_funny,review_steam_purchase,review_received_for_free,expected_anomalies,review_text,anomaly_type,confidence
208229224,Dota 2,8,0,883,0.633333333,3,0,0,0,0,1,bots,Nice game!,bots,high
208213736,Call of Duty: Modern Warfare II,8,0,1098,0.533333333,1,0,0,0,0,0,bombing|paid,NICE,bots,high
208245480,Dota 2,7,0,883,0.2,1,0,0,0,0,0,bots,trash af,normal,low
208164475,Dota 2,7,0,882,0.083333333,3,0,0,0,0,0,bots,1,bots,high
208312107,Dota 2,7,0,883,0.866666667,1,0,0,0,0,0,bots,"Free? Seriously? For such a high level of quality, with attention to every detail and animation, stunning voice actors, and a brilliant musical score, most studios would charge $60. Valve has created more than just a game, but a work of art. Every patch with new skins and events is a celebration. The cosmetics are incredibly cool, and the Arcana skins are simply masterpieces.",paid,medium
208340394,Counter-Strike 2,7,0,766,68.45,1,0,0,0,0,1,bots|bombing,VERY COOL GAME,normal,medium
208168480,Call of Duty: Modern Warfare II,7,0,1098,0.483333333,2,0,0,0,0,0,bombing|paid,WHY DID YOU BAN ME I DID NOTHING I COULDN'T GET WAR ZONE AND IT WOULDN'T LET ME MAKE A Account SO HOW COULD I HAVE DONE SOMETHING  I DEMAND A UN BAN,bombing,medium
208114658,Rust,7,0,2525,0.083333333,1,0,0,0,1,1,bots,"good
",bots,high
208304085,Dota 2,7,0,883,0.6,1,0,0,0,0,1,bots,"Dota 2 isn't just a game; it's an endless chess game with hundreds of pieces. The depth and complexity of the game are unparalleled. Every game is unique: new heroes, a constantly changing meta, endless possibilities for tactical maneuvers. The feeling when your well-thought-out plan is executed and leads your team to victory is simply indescribable. It's the most intellectually challenging game I've ever played.",normal,medium
208089061,Dota 2,6,0,881,31.2,2,0,0,0,0,0,bots,WWWWWWWWWWWWWWW,normal,low
208151251,Dota 2,6,0,882,7552.066667,1,0,0,0,0,1,bots,7500 hours. wow,normal,high
207660039,Fallout 76,6,0,2535,0.15,10,0,0,0,0,0,bombing,7-Jun,bombing,medium
208206486,Dota 2,6,0,882,2919.666667,1,0,0,0,0,1,bots,nice,bots,medium
208055609,Dota 2,6,0,881,16585.51667,1,0,0,0,0,0,bots,A,bots,high
208179701,Dota 2,6,0,882,0.666666667,2,0,0,0,0,0,bots,Игра прикольная и много русских,bots,high
208079906,Dota 2,6,0,881,8100.1,1,0,0,0,0,1,bots,"dont, just dont.",normal,high
207963571,Stardew Valley,6,0,999,20.81666667,1,0,0,0,0,0,normal,IT IS FUN,normal,medium
208121192,Dota 2,6,0,881,5596.4,1,0,0,0,0,0,bots,"GOOD
",bots,high
208117816,Dota 2,6,0,881,2835.95,2,0,0,0,0,1,bots,EVERYTHING IS PERFECT,bots,medium
208247500,Dota 2,6,0,883,202.4166667,3,0,0,0,0,0,bots,OLD time,normal,medium
208292438,Dota 2,6,0,883,861.5666667,1,1,0,0,0,1,bots,:thumbs up: :)),normal,high
208284028,Call of Duty: Modern Warfare II,6,0,1099,39.05,1,0,0,0,0,0,bombing|paid,LOVE IT,normal,high
208313437,Apex Legends,6,0,2462,12.15,1,0,0,0,0,1,bots|paid,"its really great
",paid,high
208295294,Dota 2,6,0,883,0.25,8,0,0,0,0,0,bots,terrible,bombing,medium
208268062,Dota 2,6,0,883,0.116666667,1,0,0,1,0,0,bots,Chess,bots,medium
208246466,Dota 2,6,0,883,19.85,1,1,0,0,0,0,bots,"SO GOOOD!
",bots,high
208037895,Dota 2,6,0,880,742.5333333,1,0,0,0,0,0,bots,No,normal,medium
207677115,ELDEN RING,6,0,1336,64.01666667,3,0,0,0,0,0,bombing,Masterpiece,normal,high
208099430,Grand Theft Auto V,6,0,3060,19.95,1,0,0,0,0,1,bombing,good,normal,medium
208286570,Apex Legends,6,0,2461,512.6,1,0,0,0,0,1,bots|paid,good i guess,normal,medium
208291006,Apex Legends,6,0,2461,1511.866667,3,0,0,0,0,1,bots|paid,good,normal,high
208316154,Counter-Strike 2,6,0,766,56.75,1,0,0,0,0,1,bots|bombing,good,normal,high
208266937,Apex Legends,6,0,2461,663.75,4,0,0,0,0,0,bots|paid,THRASH,normal,medium
208125173,Grand Theft Auto V,6,0,3060,1230.05,1,2,0,0,1,1,bombing,GG,normal,medium
208320166,Counter-Strike 2,6,0,766,11.48333333,1,0,0,0,0,1,bots|bombing,"a bunch of russians kids yelling at you to rush be and they did unspeakable things to your mother
[absolute cinema] 10/10",normal,medium
208266941,Call of Duty: Modern Warfare II,6,0,1099,10.01666667,2,0,0,0,0,0,bombing|paid,FUN,normal,medium
208271966,Call of Duty: Modern Warfare II,6,0,1099,124.2,3,0,0,0,0,1,bombing|paid,ts mad tuff,normal,high
208074369,Grand Theft Auto V,6,0,3060,58.26666667,1,0,0,0,0,1,bombing,ewf,normal,medium
208216494,Apex Legends,6,0,2460,1.7,3,0,0,0,0,0,bots|paid,"
.",bots,high
208194803,Apex Legends,6,0,2460,4.266666667,1,0,0,0,0,1,bots|paid,This game is really fun and all but the coins are really pricey.Overall 10/10 game,normal,high
